S.NO,DATE,TIME,TII/TCA,WLS REC,UNIT,SECTOR,FMN,LOC,DIST,TYPE OF TII/TCA,ADDL DETLS,TGT,NO. OF TRTS,ARMY,JKP,CRPF,BSF,CAPF,CIV,ARMY2,JKP2,CRPF2,BSF2,CAPF2,CIV2,IS SIT,IS SIT DETLS,REMARKS,INJURED_NAME,KILLED_NAME
1,04-Jan-20,12:15 PM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,"KAWDORA CHOWK, NOWHATTA ",SRINAGAR ,GRENADE LOBBING,"(A) BIKE BORNE UI TRTS LOBBED A HAND GRENNEAR THE LOC OF C COY 49 BN CRPF AT KAWDOORA CHOWK, NOWHATTA, SRINAGAR.  THE GREN FELL 10-15 METERS AWAY FROM THE COY LOC.
(B) 01 X CIV INJURED.AZAHAR AHD BHATT, S/O GULZAR AH BHATT, AGE - 16 YRS, R/O RAJAURI KADAL, PS SAFA KADAL, SPLINTER INJURY AT ARMS, FOREHEAD & BACK. INJURED SHIFTED TO SHRI MAHARAJA HARI SINGH HOSP, SRINAGAR.
",CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,1,NIL ,NIL,NIL,AZAHAR AHMED BHATT,
2,08-Jan-20,1:40 PM,TII ,NO ,31 SA ,31 SA ,HQ 15 CORPS ,HABAK CHOWK (PS NAGEEN),SRINAGAR ,GRENADE LOBBING,"UI TRTS LOBBED A GREN ON DPLY OF 115 BN CRPF AT HABAK CHOWK(PS NAGEEN), SRINAGAR.  TWO CIVS INJURED.
",CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,2,NIL ,NIL,NIL,,
3,13-Jan-20,12:30 PM,TII,NO,1 RR ,1 SECT ,CIF (V),SARNAL CHOWK,ANANTNAG,FIRING ,"UI TRTS FIRED 04 RDS ON TPS OF B COY, 165CRPF BNDPLY AT SARNALCHOWK, ANANTNAG.
NO INJURIES REPORTED. 
",CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
4,20-Jan-20,5:35 PM,TII,NO ,50 RR ,1 SECT ,CIF (V),NIU ,PULWAMA, PETROL BOMB,"UI TRTS PETROL BOMB IN A BOTTLE WAS HURLED ON  B COY EX 183 CRPF BN. BOMB EXPLODED OUTSIDE THE CAMP PREMISES.
NO INJURIES REPORTED.",CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
5,24-Jan-20,-,TII,NO ,31 SA ,31 SA ,HQ 15 CORPS ,NOORBAGH PS SAFAKADAL,SRINAGAR ,HURLED GREN ,"UI TRTS HURLED A GREN ON ROAD NEAR POLICE POST NOORBAGH, PS SAFAKADAL.THREE PERS, TWO JKP PERS & ONE CIV, INJURED",JKP ,UI,0,0,0,0,0,0,0,1,1,0,0,1,NIL ,NIL,NIL,,
6,27-Jan-20,8:15 PM,TCA ,NO ,22 RR ,5 SECT ,CIF (K),"SHEIKHPORA, TUJJAR ",BARAMULLA,HURLED GREN ,"A) UI TRTS HURLED A GREN ON THE HOUSE OF GHULAM MOHD WANI, S/O ABDUL AHAD WANI, R/O SHEIKHPORA TUJJAR SHARIEF, SOPORE. NO INJURIES REPORTED, MINOR DAMAGE TO THE HOUSE.

(B) JT TEAM OF 22 RR & JKP LAUNCHED A SPECIFIC SEARCH IN THE AREA AFTER THE INCIDENCE WEF 272100 TO 280030 & APPREHENDED ASUSPECT SABIR AH WANI, S/O GH AH WANI, R/O SHEIKHPORAMOH, TUJJAR.
",CIV ,UI ,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
7,02-Feb-20,1:00 PM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,"PRATAP PARK,LAL CHOWK",SRINAGAR ,GRENADE LOBBING," UI TRTS LOBBED A GREN ON CRPF PICQUET NEAR PRATAP PARK, PS KOTHI BAGH, SRINAGAR.  FWG PERS OF 171 BN CRPF &CIVS INJURED:-
",CRPF ,UI,0,0,0,0,0,0,0,0,2,0,0,7,NIL ,NIL,NIL,,
8,05-Feb-20,9:30 PM,TII,NO,55 RR ,12 SECT ,CIF (V),PS PULWAMA,PULWAMA,UBGL GREN FIRED ,UI TRTS FIRED UBGL GREN AT PS PULWAMA. NO INJ REPORTED.,JKP ,UI ,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
9,06-Feb-20,8:00 AM,TII,NO ,31 SA ,31 SA ,HQ 15 CORPS ,LAL BAZAR ,SRINAGAR ,GREN LOBBED ,"UI TRT LOBBED A GREN NEAR LAL BAZAR, DIST SRINAGAR. NO 1443193 CONST PRAMOD KUMAR KUSHWAH, AGE 25 YRS, SERVICE 06 YRS OF 36 BN SSB GOT INJURED.",SSB,UI,0,0,0,0,0,0,0,0,0,0,1,0,NIL ,NIL,NIL,PRAMOD KUMAR KUSHWAHA,
10,09-Feb-20,7:45 PM,TCA ,NO ,42 RR,1 SECT ,CIF (V),"DARLOOM,TRAL",PULWAMA,FIRING ,"UI TRT FIRED UPON GULAM NABI MIR S/O SANAULLAH MIR R/O MIR MOH ,TRAL ,OCCU:CIV CONTTRACTOR OUT SIDE HIS HOUSE WITH PISTOL. INDL SUSTAINED BULLET INJS AND DIED. INVESTIGETION BY JKP IN PROG.",CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,
11,14-Feb-20,7:30 PM,TCA ,NO ,2 RR ,10 SECT ,CIF (K),"GUND KHALIL, TILWANPURA ",BARAMULLA,GREN LOBBED ,"UI TRTS LOBBED GREN IN THE HOUSE OF SARPANCH, RUBEENA AKTHRA W/O GH MOHIUDDIN DAR, R/O TILWAAN PORA TREHGAM. THE RUSTED GREN DID NOT EXPLODE. INVESTIGATION BY JKP IS IN PROG.",CIV ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
12,04-Mar-20,-,TII,NO,22 RR ,5 SECT ,CIF (K),"WARPORA, Sopour",BARAMULLA,FIRING ,"UI TRTS FIRED UPON THE SPOS AT WARPORA MARKET, Sopour , BARAMULLA.",JKP ,UI,0,1,0,0,0,1,0,1,0,0,0,0,NIL ,NIL,NIL,,
13,06-Mar-20,19:30 PM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,"MAHARAJGUNJ,ZAINAKADAL",SRINAGAR ,FIRING ,"UI TRTS LOBBED A GREN OUTSIDE PS MAHARAJGUNJ.
",JKP ,UI,0,0,0,0,0,1,0,0,0,0,0,1,NIL ,NIL,NIL,,
14,06-Mar-20,19:20 PM,TCA ,NO,42 RR,1 SECT ,CIF (V),TRAL-DIVAR RD,PULWAMA,SELECTIVE FIRING,UI TRT WHILE TRAVILING ON TRAL-GAMRAZ RD IN DUSTER CAR.,CIV ,UI,0,0,0,0,0,1,0,0,0,0,0,0,NIL ,NIL,NIL,,
15,10-Mar-20,19:10 PM,TII,NO,50 RR ,1 SECT ,CIF (V),PS KAKAPORE,PULWAMA,HURLED GREN ,"UI TRTS HURLED A GREN INSIDE BDY WALL OF PS KAKAPORE. JKP RETAILED BY FIRING 02-03 RDS. CT  SONU KUMAR OF 41 BN  CRPF SUSTAINED SPLINTERR INJ ABOVE RT EYE AND CHEST.FIRST AID PROVIDED AT KAKAPORE COB & EVAC TO 92 BH BY RD, THEREATER REFFERD TO SKIMS, SOURA. CONDITION STABLE.",CRPF ,UI,0,0,0,0,0,0,0,0,1,0,0,0,NIL ,NIL,NIL,,
16,11-Mar-20,8:00 AM,TII,NO,31 SA ,31 SA ,HQ 15 CORPS ,BARBASHAH,SRINAGAR ,GREN LOBBED ,"UI TRTS LOBBED A GREN AT 132 BN CRPF BUNKER IN BARBASHAH, HOWEVER GREN DIDN'T EXPLODED.BOMB DISPOSAL SQUADRECOVER 7 DESTROYED THE GREN IN-SITU.",CRPF ,UI,0,0,0,0,0,0,0,0,0,0,0,0,NIL ,NIL,NIL,,
